,namePlayer,value,BIRTHDATE,HEIGHT,WEIGHT,DRAFT_YEAR,POSITION,DRAFT_NUMBER,PTS,AST,REB,PIE
208,Ja Morant,9166800.0,1999-08-10,75.0,174.0,2019,Guard,2,19.3,7.5,3.3,0.114
209,John Konchar,2100000.0,1996-03-22,77.0,210.0,Undrafted,Guard,Undrafted,4.0,1.1,3.3,0.082
210,Jonas Valanciunas,15000000.0,1992-05-06,83.0,265.0,2011,Center,5,15.9,1.8,12.3,0.152
211,Justise Winslow,13000000.0,1996-03-26,78.0,222.0,2015,Forward-Guard,10,7.8,1.8,4.9,0.053
212,Kyle Anderson,9505100.0,1993-09-20,81.0,230.0,2014,Forward-Guard,30,12.8,3.4,5.8,0.124
213,Mario Hezonja,1977011.0,1995-02-25,80.0,220.0,2015,Forward-Guard,5,6.9,1.3,3.1,
214,Marko Guduric,2750000.0,1995-03-08,78.0,201.0,Undrafted,Guard,Undrafted,3.9,1.0,1.7,
215,Tim Frazier,110998.0,1990-11-01,72.0,170.0,Undrafted,Guard,Undrafted,1.3,2.3,1.3,0.031
216,Tyus Jones,8817143.0,1996-05-10,72.0,196.0,2015,Guard,24,7.5,4.3,2.2,0.114
217,AJ Hammons,350087.0,1992-08-27,84.0,260.0,2016,Center,46,2.2,0.2,1.6,
218,Andre Iguodala,15000000.0,1984-01-28,78.0,215.0,2004,Guard-Forward,9,4.7,2.1,3.6,0.081
219,Bam Adebayo,5115492.0,1997-07-18,81.0,255.0,2017,Center-Forward,14,19.2,5.4,9.5,0.167
220,Duncan Robinson,1663861.0,1994-04-22,79.0,215.0,Undrafted,Forward,Undrafted,12.5,1.7,3.8,0.07
221,Goran Dragic,18000000.0,1986-05-06,75.0,190.0,2008,Guard,45,13.9,4.9,3.3,0.102
222,Jimmy Butler,34379100.0,1989-09-14,79.0,230.0,2011,Forward,30,21.3,7.3,7.9,0.19
223,Kendrick Nunn,1663861.0,1995-08-03,74.0,190.0,Undrafted,Guard,Undrafted,13.3,2.6,3.2,0.09
224,KZ Okpala,1517981.0,1999-04-28,80.0,215.0,2019,Forward-Guard,32,2.7,0.4,2.0,0.025
225,Nemanja Bjelica,7150000.0,1988-05-09,82.0,234.0,2010,Forward,35,7.2,1.9,3.8,0.089
226,Ryan Anderson,5214583.0,1988-05-06,81.0,240.0,2008,Forward,21,12.3,0.9,5.3,
227,Trevor Ariza,12800000.0,1985-06-30,80.0,215.0,2004,Forward,43,4.0,1.0,3.3,0.056
228,Tyler Herro,3822240.0,2000-01-20,77.0,195.0,2019,Guard,13,15.1,3.4,5.4,0.099
229,Udonis Haslem,1620564.0,1980-06-09,80.0,235.0,Undrafted,Forward,Undrafted,3.0,0.3,4.0,0.105
230,Victor Oladipo,21000000.0,1992-05-04,76.0,213.0,2013,Guard,2,20.8,4.7,5.0,0.116
231,Bobby Portis,3623000.0,1995-02-10,82.0,250.0,2015,Forward,22,10.8,1.1,6.9,0.127
232,Brook Lopez,12697675.0,1988-04-01,84.0,282.0,2008,Center,10,11.4,0.7,5.0,0.078
233,Bryn Forbes,2337145.0,1993-07-23,74.0,205.0,Undrafted,Guard,Undrafted,9.5,0.6,1.2,0.068
234,Giannis Antetokounmpo,27528088.0,1994-12-06,83.0,242.0,2013,Forward,15,29.0,6.4,11.7,0.196
235,Jeff Teague,510589.0,1988-06-10,75.0,195.0,2009,Guard,19,6.6,2.2,1.6,0.068
236,Jeff Teague,1620564.0,1988-06-10,75.0,195.0,2009,Guard,19,6.6,2.2,1.6,0.068
237,Jon Leuer,3169348.0,1989-05-14,82.0,228.0,2011,Forward,40,6.4,0.8,3.8,
238,Jrue Holiday,25876111.0,1990-06-12,75.0,205.0,2009,Guard,17,15.9,5.2,4.6,0.118
239,Khris Middleton,33051724.0,1991-08-12,79.0,222.0,2012,Forward,39,20.4,5.5,6.0,0.127
240,Larry Sanders,1865546.0,1988-11-21,83.0,230.0,2010,Forward-Center,15,6.4,0.7,5.7,
241,Pat Connaughton,4938273.0,1993-01-06,77.0,209.0,2015,Guard,41,6.9,1.3,4.5,0.082
242,Rodions Kurucs,1780152.0,1998-02-05,81.0,228.0,2018,Forward,40,1.0,0.4,0.9,0.021
243,Thanasis Antetokounmpo,1701593.0,1992-07-18,78.0,219.0,2014,Forward,51,2.2,0.7,2.0,0.057
244,Cole Aldrich,685340.0,1988-10-31,83.0,253.0,2010,Center,11,3.1,0.5,3.3,
245,D'Angelo Russell,28649250.0,1996-02-23,76.0,193.0,2015,Guard,2,19.3,5.1,2.6,0.104
246,Ed Davis,5005350.0,1989-06-05,81.0,218.0,2010,Center-Forward,13,2.3,1.0,5.1,0.073
247,Jake Layman,3761085.0,1994-03-07,80.0,209.0,2016,Forward,47,6.1,0.8,1.9,0.077
248,Jarred Vanderbilt,1663861.0,1999-04-03,81.0,214.0,2018,Forward,41,5.6,1.4,5.6,0.107
249,Jarrett Culver,6104280.0,1999-02-20,78.0,195.0,2019,Guard-Forward,6,6.8,0.8,4.3,0.059
250,Jaylen Nowell,1517981.0,1999-07-09,76.0,201.0,2019,Guard,43,10.5,1.4,2.2,0.09
251,Josh Okogie,2651040.0,1998-09-01,76.0,213.0,2018,Guard,20,4.8,1.2,2.6,0.039
252,Juancho Hernangomez,6493000.0,1995-09-28,81.0,214.0,2016,Forward,15,6.2,0.6,4.2,0.079
253,Malik Beasley,13425895.0,1996-11-26,76.0,187.0,2016,Guard,19,20.5,2.5,4.6,0.109
254,Naz Reid,1517981.0,1999-08-26,81.0,264.0,Undrafted,Center-Forward,Undrafted,11.4,1.2,4.6,0.113
255,Ricky Rubio,17000000.0,1990-10-21,75.0,190.0,2009,Guard,5,8.8,6.8,3.2,0.101
256,Brandon Ingram,27285000.0,1997-09-02,80.0,190.0,2016,Forward,2,24.2,4.7,5.1,0.133
257,Eric Bledsoe,16875000.0,1989-12-09,73.0,214.0,2010,Guard,18,11.3,3.7,3.4,0.071
258,Isaiah Thomas,110998.0,1989-02-07,69.0,185.0,2011,Guard,60,18.1,5.0,2.5,
259,James Johnson,16047100.0,1987-02-20,79.0,240.0,2009,Forward,16,5.7,1.7,3.0,0.077
260,Jaxson Hayes,5105160.0,2000-05-23,83.0,220.0,2019,Center-Forward,8,5.5,0.5,3.5,0.105
261,Josh Hart,3491159.0,1995-03-06,77.0,215.0,2017,Guard,30,9.1,2.2,7.6,0.097
262,Lonzo Ball,11003782.0,1997-10-27,78.0,190.0,2017,Guard,2,14.2,5.6,4.2,0.099
263,Sindarius Thornwell,721484.0,1994-11-15,76.0,215.0,2017,Guard,48,1.2,0.3,0.4,0.029
264,Steven Adams,29592695.0,1993-07-20,83.0,265.0,2013,Center,12,8.1,2.0,9.2,0.093
265,Wenyen Gabriel,1620564.0,1997-03-26,81.0,205.0,Undrafted,Forward,Undrafted,0.2,0.3,1.2,0.0
266,Willy Hernangomez,1620564.0,1994-05-27,83.0,250.0,2015,Center-Forward,35,6.3,1.2,6.2,0.112
267,Zion Williamson,10245480.0,2000-07-06,79.0,284.0,2019,Forward,1,25.7,3.4,7.0,0.154
268,Alec Burks,6000000.0,1991-07-20,78.0,214.0,2011,Guard,12,12.6,2.2,4.3,0.108
269,Derrick Rose,7682926.0,1988-10-04,74.0,200.0,2008,Guard,1,13.5,4.5,2.2,0.129
270,Elfrid Payton,4767000.0,1994-02-22,75.0,195.0,2014,Guard,10,12.4,3.7,3.9,0.082
271,Frank Ntilikina,6176578.0,1998-07-28,76.0,200.0,2017,Guard,8,4.3,0.8,1.2,0.037
272,Jacob Evans,2017320.0,1997-06-18,76.0,210.0,2018,Guard-Forward,28,2.8,0.9,1.1,
273,Joakim Noah,6431667.0,1985-02-25,83.0,232.0,2007,Forward-Center,9,8.8,2.8,9.0,
274,John Henson,110998.0,1990-12-28,81.0,219.0,2012,Forward-Center,14,7.6,1.1,5.3,
275,Julius Randle,18900000.0,1994-11-29,80.0,250.0,2014,Forward-Center,7,23.3,5.9,10.9,0.164
276,Mitchell Robinson,1663861.0,1998-04-01,84.0,240.0,2018,Center-Forward,36,8.6,0.6,8.4,0.104
277,Nerlens Noel,5000000.0,1994-04-10,83.0,220.0,2013,Center-Forward,6,4.8,0.6,6.0,0.083
278,Omari Spellman,1988280.0,1997-07-21,80.0,245.0,2018,Forward,30,6.8,1.0,4.3,
279,Reggie Bullock,4200000.0,1991-03-16,78.0,205.0,2013,Guard-Forward,25,9.3,1.4,3.4,0.065
280,RJ Barrett,8231760.0,2000-06-14,78.0,214.0,2019,Forward-Guard,3,17.3,3.0,6.1,0.101
281,Taj Gibson,1442968.0,1985-06-24,81.0,232.0,2009,Forward,26,4.2,0.5,4.5,0.073
282,Terrance Ferguson,3944013.0,1998-05-17,78.0,190.0,2017,Guard,21,0.2,0.2,0.1,-0.065
283,Vincent Poirier,2619207.0,1993-10-17,84.0,235.0,Undrafted,Center-Forward,Undrafted,0.8,0.2,1.4,-0.02
284,Admiral Schofield,1517981.0,1997-03-30,77.0,241.0,2019,Guard-Forward,42,3.0,0.5,1.4,
285,Al Horford,27500000.0,1986-06-03,81.0,240.0,2007,Center-Forward,3,14.3,3.3,6.7,0.128
286,Austin Rivers,3500000.0,1992-08-01,76.0,200.0,2012,Guard,10,7.3,2.0,2.2,0.071
287,Darius Bazley,2399160.0,2000-06-12,80.0,208.0,2019,Forward-Guard,23,11.9,1.5,7.5,0.087
288,Darius Miller,7000000.0,1990-03-21,78.0,225.0,2012,Forward,46,3.4,1.1,1.4,0.115
289,Frank Jackson,250000.0,1998-05-04,75.0,205.0,2017,Guard,31,5.2,0.8,1.4,0.08
290,Isaiah Roby,1517981.0,1998-02-03,80.0,230.0,2019,Forward,45,9.0,1.7,5.5,0.095
291,Josh Gray,1620564.0,1993-09-09,72.0,180.0,Undrafted,Guard,Undrafted,4.9,2.0,1.7,
292,Justin Jackson,5029650.0,1995-03-28,80.0,220.0,2017,Forward,15,7.0,1.5,2.2,0.08
293,Justin Robinson,99020.0,1997-10-12,73.0,195.0,2019,Guard,None,1.4,0.8,0.6,
294,Kenrich Williams,2000000.0,1994-12-02,78.0,210.0,Undrafted,Guard-Forward,Undrafted,7.0,1.8,4.1,0.098
295,Kyle Singler,999200.0,1988-05-04,80.0,228.0,2011,Forward,33,6.5,0.8,2.9,
296,Luguentz Dort,1517981.0,1999-04-19,75.0,215.0,Undrafted,Guard,Undrafted,12.6,1.6,3.5,0.056
297,Meyers Leonard,9400000.0,1992-02-27,84.0,260.0,2012,Forward-Center,11,3.3,0.7,2.3,0.067
298,Mike Muscala,2283034.0,1991-07-01,82.0,240.0,2013,Forward-Center,44,9.7,0.8,3.8,0.112
299,Moses Brown,1250000.0,1999-10-13,86.0,245.0,Undrafted,Center,Undrafted,6.6,0.3,6.5,0.119
300,Svi Mykhailiuk,1663861.0,1997-06-10,79.0,205.0,2018,Guard-Forward,47,7.0,1.6,2.1,0.077
301,Tony Bradley,3542060.0,1998-01-08,82.0,248.0,2017,Center-Forward,28,4.8,0.9,4.9,0.121
302,Ty Jerome,2303040.0,1997-07-08,77.0,195.0,2019,Guard-Forward,24,9.9,3.6,3.5,0.091
303,Zylan Cheatham,1445697.0,1995-11-17,77.0,220.0,Undrafted,Forward,Undrafted,3.0,0.8,2.3,
304,Dwayne Bacon,1678854.0,1995-08-30,78.0,221.0,2017,Guard-Forward,40,9.9,1.1,2.8,0.06
305,Gary Harris,19160714.0,1994-09-14,76.0,210.0,2014,Guard,19,9.7,1.7,2.5,0.052
306,Jonathan Isaac,7362566.0,1997-10-03,83.0,230.0,2017,Forward,6,11.9,1.4,6.8,0.108
307,Khem Birch,3000000.0,1992-09-28,81.0,233.0,Undrafted,Center,Undrafted,5.5,1.0,5.2,0.084
308,Markelle Fultz,12288697.0,1998-05-29,75.0,209.0,2017,Guard,1,12.9,5.4,3.1,0.081
309,Mo Bamba,5969040.0,1998-05-12,84.0,231.0,2018,Center,6,4.6,0.3,3.9,0.126
310,Terrence Ross,13500000.0,1991-02-05,78.0,206.0,2012,Guard-Forward,8,16.0,2.3,3.5,0.092
311,Ben Simmons,30559200.0,1996-07-20,83.0,240.0,2016,Guard-Forward,1,16.1,7.6,8.0,0.134
312,Danny Green,15365853.0,1987-06-22,78.0,215.0,2009,Guard,46,9.2,1.7,3.6,0.064
313,Dwight Howard,1620564.0,1985-12-08,82.0,265.0,2004,Center-Forward,1,6.6,0.8,8.2,0.119
314,Furkan Korkmaz,1762796.0,1997-07-24,79.0,202.0,2016,Guard-Forward,26,9.2,1.1,2.2,0.084
315,George Hill,9590602.0,1986-05-04,76.0,188.0,2008,Guard,26,11.8,3.1,2.1,0.101
316,Joel Embiid,29542010.0,1994-03-16,84.0,280.0,2014,Center-Forward,3,29.9,3.3,11.5,0.211
317,Justin Anderson,125000.0,1993-11-19,77.0,231.0,2015,Forward-Guard,21,5.2,0.7,2.5,
318,Matisse Thybulle,2711280.0,1997-03-04,77.0,201.0,2019,Guard-Forward,20,3.7,1.0,1.7,0.05
319,Mike Scott,5005350.0,1988-07-16,79.0,237.0,2012,Forward,43,3.8,0.5,2.6,0.054
320,Seth Curry,7834449.0,1990-08-23,74.0,185.0,Undrafted,Guard,Undrafted,12.9,2.9,2.2,0.082
321,Shake Milton,1701593.0,1996-09-26,77.0,205.0,2018,Guard-Forward,54,13.8,3.1,2.3,0.098
322,Tobias Harris,34358850.0,1992-07-15,80.0,226.0,2011,Forward,19,20.8,3.6,7.7,0.147
323,Abdel Nader,1752950.0,1993-09-25,77.0,225.0,2016,Forward,58,6.7,0.8,2.6,0.092
324,Cameron Johnson,4235160.0,1996-03-03,80.0,210.0,2019,Forward,11,10.3,1.4,3.3,0.09
325,Cameron Payne,1977011.0,1994-08-08,73.0,183.0,2015,Guard,14,7.2,3.7,2.1,0.112
326,Chris Paul,41358814.0,1985-05-06,72.0,175.0,2005,Guard,4,15.7,8.8,4.7,0.145
327,Dario Saric,9250000.0,1994-04-08,82.0,225.0,2014,Forward-Center,12,10.3,1.3,4.2,0.1
328,Deandre Ayton,10018200.0,1998-07-23,83.0,250.0,2018,Center,1,14.5,1.6,11.0,0.129
329,Devin Booker,29467800.0,1996-10-30,77.0,206.0,2015,Guard,13,25.1,4.6,4.0,0.126
330,E'Twaun Moore,1620564.0,1989-02-25,75.0,191.0,2011,Guard,55,4.3,1.5,1.8,0.055
331,Frank Kaminsky,1620564.0,1993-04-04,84.0,240.0,2015,Forward-Center,9,6.6,1.6,3.7,0.11
332,Jae Crowder,9258000.0,1990-07-06,78.0,235.0,2012,Forward,34,10.1,2.0,5.0,0.088
333,Jevon Carter,3925000.0,1995-09-14,73.0,200.0,2018,Guard,32,2.8,1.1,1.1,0.066
334,Langston Galloway,1620564.0,1991-12-09,73.0,200.0,Undrafted,Guard,Undrafted,5.1,0.8,1.0,0.09
335,Mikal Bridges,4359000.0,1996-08-30,78.0,209.0,2018,Forward,10,13.7,2.4,4.9,0.104
336,Torrey Craig,1620564.0,1990-12-19,79.0,221.0,Undrafted,Forward,Undrafted,2.9,0.9,2.4,0.061
337,Anderson Varejao,1913345.0,1982-09-28,83.0,273.0,2004,Center,30,7.3,1.2,7.2,
338,Andrew Nicholson,2844430.0,1989-12-08,81.0,250.0,2012,Forward,19,6.0,0.4,3.0,
339,Anfernee Simons,2252040.0,1999-06-08,75.0,181.0,2018,Guard,24,8.0,1.4,2.3,0.077
340,Carmelo Anthony,1620564.0,1984-05-29,79.0,238.0,2003,Forward,3,14.0,1.7,3.3,0.088
341,CJ McCollum,29354152.0,1991-09-19,75.0,190.0,2013,Guard,10,23.8,4.3,3.8,0.131
342,Damian Lillard,31626953.0,1990-07-15,74.0,195.0,2012,Guard,6,30.1,7.7,4.4,0.165
343,Enes Kanter,5005350.0,1992-05-20,82.0,250.0,2011,Center,3,12.1,1.3,11.6,0.137
344,Jusuf Nurkic,12888889.0,1994-08-23,83.0,290.0,2014,Center,16,9.8,2.8,7.7,0.103
345,Nassir Little,2210640.0,2000-02-11,77.0,220.0,2019,Forward-Guard,25,5.3,0.4,2.6,0.074
346,Norman Powell,10865952.0,1993-05-25,75.0,215.0,2015,Guard,46,19.5,1.8,3.0,0.106
347,Robert Covington,12138345.0,1990-12-14,79.0,209.0,Undrafted,Forward,Undrafted,8.6,1.7,6.7,0.073
348,Zach Collins,5406255.0,1997-11-19,83.0,250.0,2017,Forward-Center,10,7.0,1.5,6.3,0.054
349,Buddy Hield,24701834.0,1992-12-17,76.0,220.0,2016,Guard,6,16.9,3.3,4.6,0.078
350,Chimezie Metu,50000.0,1997-03-22,81.0,225.0,2018,Forward-Center,49,3.4,0.5,2.1,0.094
351,Chris Silva,1517981.0,1996-09-19,80.0,234.0,Undrafted,Forward,Undrafted,2.7,0.5,2.3,0.077
352,De'Aaron Fox,8099627.0,1997-12-20,75.0,185.0,2017,Guard,5,23.8,7.4,3.4,0.116
353,Delon Wright,9000000.0,1992-04-26,77.0,185.0,2015,Guard,20,10.5,5.1,4.6,0.119
354,Glenn Robinson III,930930.0,1994-01-08,78.0,222.0,2014,Forward,40,5.3,0.9,2.0,0.057
355,Harrison Barnes,22215909.0,1992-05-30,80.0,225.0,2012,Forward,7,16.3,3.7,6.5,0.111
356,Hassan Whiteside,1620564.0,1989-06-13,84.0,265.0,2010,Center,33,8.0,0.6,5.8,0.118
357,Jabari Parker,6500000.0,1995-03-15,80.0,245.0,2014,Forward,2,2.7,0.3,2.0,0.037
358,Justin James,1517981.0,1997-01-24,79.0,190.0,2019,Guard-Forward,40,2.1,0.5,0.5,0.051
359,Marvin Bagley III,8963640.0,1999-03-14,83.0,235.0,2018,Forward,2,13.9,0.9,7.4,0.095
360,Maurice Harkless,3623000.0,1993-05-11,79.0,220.0,2012,Forward-Guard,15,1.4,0.6,1.2,0.023
361,Mfiondu Kabengele,2075880.0,1997-08-14,81.0,250.0,2019,Forward-Center,27,1.2,0.2,0.6,0.003
362,Richaun Holmes,5005350.0,1993-10-15,82.0,235.0,2015,Forward,37,13.9,1.8,8.8,0.119
363,Terence Davis,1517981.0,1997-05-16,76.0,201.0,Undrafted,Guard,Undrafted,7.0,1.1,2.0,0.075
364,Cameron Reynolds,110998.0,1995-02-07,79.0,225.0,Undrafted,Guard-Forward,Undrafted,5.0,0.7,1.6,
365,Dejounte Murray,14286000.0,1996-09-19,76.0,180.0,2016,Guard,29,15.6,5.1,7.0,0.125
366,DeMar DeRozan,27739975.0,1989-08-07,78.0,220.0,2009,Guard-Forward,9,20.6,7.4,4.5,0.144
367,DeMarre Carroll,6119676.0,1986-07-27,78.0,215.0,2009,Forward,27,8.9,1.3,4.2,
368,Derrick White,3516284.0,1994-07-02,76.0,190.0,2017,Guard,29,12.8,3.4,2.4,0.076
369,Drew Eubanks,1620564.0,1997-02-01,81.0,245.0,Undrafted,Forward-Center,Undrafted,4.6,0.9,3.2,0.089
370,Jakob Poeltl,8101852.0,1995-10-15,85.0,245.0,2016,Center,9,7.1,1.8,7.8,0.099
371,Keldon Johnson,2048040.0,1999-10-11,77.0,220.0,2019,Forward-Guard,29,13.9,2.0,6.5,0.1
372,Luka Samanic,2824320.0,2000-01-09,82.0,227.0,2019,Forward,19,3.8,0.2,2.5,0.077
373,Marquese Chriss,1824003.0,1997-07-02,81.0,240.0,2016,Forward,8,6.5,1.0,6.5,0.11
374,Patty Mills,13535714.0,1988-08-11,73.0,180.0,2009,Guard,55,12.9,2.5,1.8,0.095
375,Rudy Gay,14500000.0,1986-08-17,80.0,250.0,2006,Forward-Guard,8,10.9,1.5,4.9,0.105
376,Trey Lyles,5500000.0,1995-11-05,81.0,234.0,2015,Forward,12,5.0,0.6,3.8,0.1
377,Alex Len,2258000.0,1993-06-16,84.0,250.0,2013,Center,5,6.1,0.9,3.6,0.099
378,Alex Len,1265372.0,1993-06-16,84.0,250.0,2013,Center,5,6.1,0.9,3.6,0.099
379,Aron Baynes,7000000.0,1986-12-09,82.0,260.0,Undrafted,Center-Forward,Undrafted,6.1,0.9,5.5,0.067
380,Chris Boucher,6500000.0,1993-01-11,81.0,200.0,Undrafted,Forward-Center,Undrafted,13.8,1.0,6.4,0.134
381,DeAndre' Bembry,1737145.0,1994-07-04,77.0,210.0,2016,Guard-Forward,21,4.6,1.9,2.3,0.068
382,Fred VanVleet,21250000.0,1994-02-25,73.0,197.0,Undrafted,Guard,Undrafted,20.1,6.5,4.4,0.118
383,Henry Ellenson,110998.0,1997-01-13,82.0,240.0,2016,Forward-Center,18,7.5,2.5,6.0,0.106
384,Kyle Lowry,30500000.0,1986-03-25,72.0,196.0,2006,Guard,24,17.6,7.4,5.6,0.117
385,OG Anunoby,3872215.0,1997-07-17,79.0,232.0,2017,Forward,23,14.0,1.6,5.7,0.092
386,Pascal Siakam,30559200.0,1994-04-02,81.0,230.0,2016,Forward,27,19.8,4.7,7.3,0.117
387,Patrick McCaw,4000000.0,1995-10-25,79.0,181.0,2016,Guard,38,1.0,0.8,0.6,0.057
388,Paul Watson,1445697.0,1994-12-30,78.0,210.0,Undrafted,Guard,Undrafted,2.6,0.4,1.3,0.044
389,Rodney Hood,10047450.0,1992-10-20,80.0,208.0,2014,Guard-Forward,23,4.7,1.2,1.9,0.031
390,Stanley Johnson,3804150.0,1996-05-29,78.0,242.0,2015,Forward-Guard,8,2.9,1.2,2.2,0.047
391,Bojan Bogdanovic,17850000.0,1989-04-18,79.0,226.0,2011,Forward,31,14.9,1.9,3.9,0.081
392,Derrick Favors,9258000.0,1991-07-15,81.0,265.0,2010,Forward,3,5.9,0.9,5.3,0.111
393,Donovan Mitchell,5195501.0,1996-09-07,73.0,215.0,2017,Guard,13,25.4,5.5,4.6,0.127
394,Ersan Ilyasova,754783.0,1987-05-15,81.0,235.0,2005,Forward,36,0.0,1.0,0.0,0.0
395,Georges Niang,1783557.0,1993-06-17,79.0,230.0,2016,Forward,50,5.0,0.7,2.2,0.061
396,Joe Ingles,10863637.0,1987-10-02,80.0,220.0,Undrafted,Forward-Guard,Undrafted,12.3,4.2,3.6,0.123
397,Jordan Clarkson,11500000.0,1992-06-07,76.0,194.0,2014,Guard,46,17.5,2.2,3.9,0.116
398,Juwan Morgan,1517981.0,1997-04-17,79.0,232.0,Undrafted,Forward,Undrafted,0.9,0.2,0.8,0.035
399,Matt Thomas,1517981.0,1994-08-04,76.0,190.0,Undrafted,Guard,Undrafted,2.6,0.4,0.8,0.058
400,Mike Conley,34502132.0,1987-10-11,73.0,175.0,2007,Guard,4,16.4,5.5,3.4,0.125
401,Miye Oni,1517981.0,1997-08-04,77.0,206.0,2019,Guard-Forward,58,2.0,0.2,1.6,0.051
402,Royce O'Neale,8500000.0,1993-06-05,76.0,226.0,Undrafted,Forward,Undrafted,7.5,2.6,6.6,0.072
403,Rudy Gobert,27525281.0,1992-06-26,85.0,258.0,2013,Center,27,14.5,1.3,13.4,0.158
404,Shaquille Harrison,770433.0,1993-10-06,79.0,190.0,Undrafted,Guard,Undrafted,1.0,0.5,0.5,0.064
405,Anzejs Pasecniks,374297.0,1995-12-20,85.0,229.0,2017,Center-Forward,25,0.0,1.0,1.0,-0.26
406,Bradley Beal,28751774.0,1993-06-28,75.0,207.0,2012,Guard,3,31.8,4.6,5.1,0.154
407,Chandler Hutchison,2443440.0,1996-04-26,78.0,210.0,2018,Forward-Guard,22,1.9,0.6,2.9,0.042
408,Daniel Gafford,1517981.0,1998-10-01,82.0,234.0,2019,Forward-Center,38,4.8,0.6,3.3,0.099
409,Davis Bertans,15000000.0,1992-11-12,82.0,225.0,2011,Forward,42,10.8,0.9,2.9,0.064
410,Isaac Bonga,1663861.0,1999-11-08,80.0,180.0,2018,Guard,39,2.2,0.6,2.1,0.032
411,Ish Smith,6000000.0,1988-07-05,72.0,175.0,Undrafted,Guard,Undrafted,5.2,4.7,3.5,0.094
412,Jerome Robinson,3737520.0,1997-02-22,76.0,190.0,2018,Guard,13,5.2,1.4,2.5,0.052
413,Raul Neto,1620564.0,1992-05-19,73.0,180.0,2013,Guard,47,7.7,2.2,2.2,0.081
414,Robin Lopez,7300000.0,1988-04-01,84.0,281.0,2008,Center,15,8.2,0.9,4.1,0.084
415,Rui Hachimura,4692840.0,1998-02-08,80.0,230.0,2019,Forward,9,13.4,1.5,5.8,0.085
416,Russell Westbrook,41358814.0,1988-11-12,75.0,200.0,2008,Guard,4,21.7,10.3,9.5,0.146
417,Thomas Bryant,8333333.0,1997-07-31,82.0,248.0,2017,Center-Forward,42,14.3,1.5,6.1,0.111
